"intercept" "drugB" "time2" "time3" "time6" "drugB:time2" "drugB:time3" "drugB:time6"
"23" 0.820284033806026 -0.0640024940368492 -0.355999990731276 -0.463999981743422 -0.0899999936804152 0.316 0.148 -0.0899999999999999
"24" 0.848194754493325 -0.0640013435066347 -0.355999996801512 -0.463999993699947 -0.0899999978192123 0.316 0.148 -0.0900000000000002
"25" 0.876863643262959 -0.0640007190623973 -0.355999998910439 -0.463999997853896 -0.0899999992571178 0.316 0.148 -0.0900000000000001
"26" 0.906298942236791 -0.0640003825474171 -0.35599999963333 -0.463999999277772 -0.0899999997499981 0.316 0.148 -0.0899999999999999
"27" 0.93649718156596 -0.0640002023751643 -0.355999999878012 -0.463999999759721 -0.0899999999168266 0.316 0.148 -0.0899999999999999
"28" 0.967436927791576 -0.0640001064889098 -0.355999999959853 -0.463999999920923 -0.0899999999726274 0.316 0.148 -0.0900000000000001
"29" 0.999070224985577 -0.0640000557454654 -0.355999999986923 -0.463999999974242 -0.089999999991084 0.316 0.148 -0.0899999999999999
"30" 1.03131121891799 -0.0640000290345503 -0.355999999995782 -0.463999999991692 -0.089999999997124 0.316 0.148 -0.0900000000000002
"31" 1.06402173710545 -0.0640000150459927 -0.355999999998652 -0.463999999997345 -0.0899999999990808 0.316 0.148 -0.0900000000000002
"32" 1.09699438100327 -0.064000007756774 -0.355999999999573 -0.463999999999159 -0.0899999999997089 0.316 0.148 -0.0900000000000001
"33" 1.12993529689198 -0.0640000039774295 -0.355999999999866 -0.463999999999736 -0.0899999999999085 0.316 0.148 -0.0900000000000001
"34" 1.16245142979074 -0.0640000020278861 -0.355999999999958 -0.463999999999918 -0.0899999999999717 0.316 0.148 -0.0899999999999999
"35" 1.19405027372267 -0.0640000010275918 -0.355999999999987 -0.463999999999975 -0.0899999999999914 0.316 0.148 -0.0899999999999999
"36" 1.22416201172131 -0.0640000005172756 -0.355999999999996 -0.463999999999992 -0.0899999999999973 0.316 0.148 -0.0900000000000001
"37" 1.25219100703718 -0.0640000002585448 -0.355999999999999 -0.463999999999998 -0.0899999999999992 0.316 0.148 -0.0900000000000002
"38" 1.27759310365901 -0.0640000001282598 -0.356 -0.463999999999999 -0.0899999999999997 0.316 0.148 -0.0900000000000002
"39" 1.29995996970494 -0.0640000000631394 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"40" 1.31908215915565 -0.0640000000308466 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
